"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type",Comment,Date,Impressions,Reach,Shares,Follows,"Profile visits",Replies,"Link clicks","Product button clicks","Sticker taps",Navigation
18002076856736734,17841454488074241,viderma.sports,"Viderma Sports",,12,"04/16/2023 13:04",https://instagram.com/stories/viderma.sports/3082457575988547231,"IG story",,Lifetime,38,38,0,0,1,0,0,0,0,42
17870878670890779,17841454488074241,viderma.sports,"Viderma Sports",,0,"04/16/2023 11:04",https://instagram.com/stories/viderma.sports/3082379087201208547,"IG story",,Lifetime,41,40,0,0,0,0,0,0,0,40
18280628851118840,17841454488074241,viderma.sports,"Viderma Sports","#TeamViderma 💪",0,"04/16/2023 09:04",https://instagram.com/stories/viderma.sports/3082323223073389366,"IG story",,Lifetime,46,44,0,0,0,0,0,0,0,50
18270900835130435,17841454488074241,viderma.sports,"Viderma Sports","#TeamViderma 💪",0,"04/16/2023 09:04",https://instagram.com/stories/viderma.sports/3082321620882694734,"IG story",,Lifetime,47,46,0,0,0,0,0,0,0,55
17992070125893840,17841454488074241,viderma.sports,"Viderma Sports","#TeamViderma 💪",15,"04/16/2023 09:04",https://instagram.com/stories/viderma.sports/3082320763026573990,"IG story",,Lifetime,46,45,0,0,0,0,0,0,2,52
17950924409536796,17841454488074241,viderma.sports,"Viderma Sports","#TeamViderma 💪",15,"04/16/2023 09:04",https://instagram.com/stories/viderma.sports/3082318813480557315,"IG story",,Lifetime,48,47,0,0,0,0,0,0,0,49
18218694727169795,17841454488074241,viderma.sports,"Viderma Sports",,15,"04/10/2023 05:04",https://instagram.com/stories/viderma.sports/3077862469432105679,"IG story",,Lifetime,69,66,0,0,0,0,0,0,0,78
17977819133146269,17841454488074241,viderma.sports,"Viderma Sports",,0,"04/09/2023 10:04",https://instagram.com/stories/viderma.sports/3077282942728920739,"IG story",,Lifetime,76,75,0,0,0,0,0,0,0,84
17999029279703687,17841454488074241,viderma.sports,"Viderma Sports",,15,"04/08/2023 17:04",https://instagram.com/stories/viderma.sports/3076761446302963637,"IG story",,Lifetime,84,81,0,0,0,0,0,0,0,79
18037012669456240,17841454488074241,viderma.sports,"Viderma Sports",,15,"04/07/2023 12:04",https://instagram.com/stories/viderma.sports/3075906945094478720,"IG story",,Lifetime,40,40,0,0,0,0,0,0,0,42
17912340296726790,17841454488074241,viderma.sports,"Viderma Sports",,0,"04/07/2023 03:04",https://instagram.com/stories/viderma.sports/3075641439958902709,"IG story",,Lifetime,41,41,0,0,0,0,0,0,0,47
17976444713128346,17841454488074241,viderma.sports,"Viderma Sports",,0,"04/07/2023 03:04",https://instagram.com/stories/viderma.sports/3075641073527689001,"IG story",,Lifetime,51,49,0,0,0,0,0,0,0,50
17996101369813857,17841454488074241,viderma.sports,"Viderma Sports","#EuAcreditoNaCiência #TeamViderma 💪",15,"04/05/2023 15:04",https://instagram.com/stories/viderma.sports/3074552024579376216,"IG story",,Lifetime,37,36,0,0,0,0,0,0,0,41
18017845561532338,17841454488074241,viderma.sports,"Viderma Sports",,15,"04/05/2023 11:04",https://instagram.com/stories/viderma.sports/3074409590671196711,"IG story",,Lifetime,42,42,0,0,1,0,0,0,0,52
17853725933946698,17841454488074241,viderma.sports,"Viderma Sports",,15,"04/05/2023 08:04",https://instagram.com/stories/viderma.sports/3074334249495740387,"IG story",,Lifetime,51,50,0,0,0,0,0,0,0,57
17942828000616621,17841454488074241,viderma.sports,"Viderma Sports",,15,"04/04/2023 14:04",https://instagram.com/stories/viderma.sports/3073796220049943868,"IG story",,Lifetime,57,53,0,0,0,0,0,0,0,61
17970380948502595,17841454488074241,viderma.sports,"Viderma Sports",,15,"04/03/2023 11:04",https://instagram.com/stories/viderma.sports/3072977574436142417,"IG story",,Lifetime,57,55,0,0,4,0,0,0,0,59
17975605757282727,17841454488074241,viderma.sports,"Viderma Sports",,12,"04/02/2023 19:04",https://instagram.com/stories/viderma.sports/3072472081925944637,"IG story",,Lifetime,40,39,0,0,0,0,0,0,0,52
18274147057114685,17841454488074241,viderma.sports,"Viderma Sports","#TeamViderma 💪",15,"04/02/2023 09:04",https://instagram.com/stories/viderma.sports/3072189047029092713,"IG story",,Lifetime,49,43,0,0,0,0,0,0,0,56
18089846221325230,17841454488074241,viderma.sports,"Viderma Sports",,15,"04/02/2023 05:04",https://instagram.com/stories/viderma.sports/3072065863021501573,"IG story",,Lifetime,51,50,0,0,1,0,0,0,0,56
17992753723874927,17841454488074241,viderma.sports,"Viderma Sports",,0,"04/01/2023 15:04",https://instagram.com/stories/viderma.sports/3071647373935398450,"IG story",,Lifetime,75,74,0,0,0,0,0,0,0,79
17988296638799151,17841454488074241,viderma.sports,"Viderma Sports",,0,"04/01/2023 11:04",https://instagram.com/stories/viderma.sports/3071512393951385809,"IG story",,Lifetime,69,67,0,0,0,0,0,0,0,75
18013876015514989,17841454488074241,viderma.sports,"Viderma Sports",,15,"03/31/2023 16:03",https://instagram.com/stories/viderma.sports/3070932021661646669,"IG story",,Lifetime,61,59,0,0,0,0,0,0,0,70
18111575056307738,17841454488074241,viderma.sports,"Viderma Sports",,15,"03/29/2023 11:03",https://instagram.com/stories/viderma.sports/3069336784782536893,"IG story",,Lifetime,40,38,0,0,0,0,0,0,0,42
18033262591461614,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/28/2023 11:03",https://instagram.com/stories/viderma.sports/3068632268902285416,"IG story",,Lifetime,64,64,0,0,0,0,0,0,0,71
17977546661115431,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/28/2023 05:03",https://instagram.com/stories/viderma.sports/3068443193461244318,"IG story",,Lifetime,71,68,0,0,0,0,0,0,0,78
17993086066832366,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/27/2023 04:03",https://instagram.com/stories/viderma.sports/3067697009574629053,"IG story",,Lifetime,34,34,0,0,0,0,0,0,0,37
18323906485072319,17841454488074241,viderma.sports,"Viderma Sports","#TeamViderma 💪",0,"03/26/2023 03:03",https://instagram.com/stories/viderma.sports/3066929517088702226,"IG story",,Lifetime,39,39,0,0,0,0,0,0,0,41
18351974578025093,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/26/2023 03:03",https://instagram.com/stories/viderma.sports/3066928560611247728,"IG story",,Lifetime,42,42,0,0,0,0,0,0,0,44
18211899970212524,17841454488074241,viderma.sports,"Viderma Sports",,15,"03/25/2023 12:03",https://instagram.com/stories/viderma.sports/3066465183514766957,"IG story",,Lifetime,46,46,0,0,0,0,0,0,0,48
18002903983650150,17841454488074241,viderma.sports,"Viderma Sports",,15,"03/23/2023 03:03",https://instagram.com/stories/viderma.sports/3064760643946202199,"IG story",,Lifetime,43,42,0,0,0,0,0,0,0,45
18035892157456652,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/22/2023 12:03",https://instagram.com/stories/viderma.sports/3064298007026190798,"IG story",,Lifetime,50,48,0,0,0,0,0,0,0,57
18052535518399107,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/22/2023 06:03",https://instagram.com/stories/viderma.sports/3064129109718814136,"IG story",,Lifetime,39,38,0,0,0,0,0,0,0,45
17983262761963031,17841454488074241,viderma.sports,"Viderma Sports",,15,"03/20/2023 16:03",https://instagram.com/stories/viderma.sports/3062962884612162498,"IG story",,Lifetime,30,28,0,0,1,0,0,0,0,34
17958932360275467,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/20/2023 09:03",https://instagram.com/stories/viderma.sports/3062752840489916089,"IG story",,Lifetime,38,38,0,0,0,0,0,0,0,43
18044946277423097,17841454488074241,viderma.sports,"Viderma Sports",,15,"03/20/2023 04:03",https://instagram.com/stories/viderma.sports/3062609805844901041,"IG story",,Lifetime,44,44,0,0,0,0,0,0,0,50
17995124785743268,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/19/2023 02:03",https://instagram.com/stories/viderma.sports/3061837598688002446,"IG story",,Lifetime,53,53,0,0,0,0,0,0,0,62
17945831417461824,17841454488074241,viderma.sports,"Viderma Sports","Parabéns ao #NIFC pela classificação  inédita na Copa Do Brasil! 🍊",0,"03/16/2023 06:03",https://instagram.com/stories/viderma.sports/3059786453698070802,"IG story",,Lifetime,83,81,1,0,5,0,0,0,0,110
18008246290603442,17841454488074241,viderma.sports,"Viderma Sports","#TeamViderma 💪",0,"03/16/2023 03:03",https://instagram.com/stories/viderma.sports/3059690904458209845,"IG story",,Lifetime,72,72,0,0,0,0,0,0,0,82
18235489522164188,17841454488074241,viderma.sports,"Viderma Sports",,15,"03/15/2023 16:03",https://instagram.com/stories/viderma.sports/3059350272183885166,"IG story",,Lifetime,58,56,0,0,0,0,0,0,0,62
17982432046957580,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/15/2023 12:03",https://instagram.com/stories/viderma.sports/3059219696910553825,"IG story",,Lifetime,42,42,0,0,0,0,0,0,0,46
17974949201120996,17841454488074241,viderma.sports,"Viderma Sports",🏆🇧🇷👏🏻,0,"03/14/2023 11:03",https://instagram.com/stories/viderma.sports/3058478753378941647,"IG story",,Lifetime,50,50,0,0,0,0,0,0,0,54
